"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","01:57","","Angelica Häreby","Jemtland Innebandy","Period1","Slag",2,"Vattjoms IK - Jemtland Innebandy","Anders Johansson","Teodor Lundgren","Anders Johansson, Teodor Lundgren"
"2","Utvisning","12:45","","Tilda Jokioja","Timrå IBC","Period2","Obstruktion",2,"Söderhamns IBF - Timrå IBC","Michael Hoek","Jimmy Löfgren","Michael Hoek, Jimmy Löfgren"
"3","Utvisning","01:47","","Hanna Larm","Söderhamns IBF","Period3","Hög klubba",2,"Söderhamns IBF - Timrå IBC","Michael Hoek","Jimmy Löfgren","Michael Hoek, Jimmy Löfgren"
"4","Utvisning","11:31","","Linn Dahlin","Timrå IBC","Period3","Slag",2,"FBC Bollnäs - Timrå IBC","Johnny Sundberg","Leif Sundberg","Johnny Sundberg, Leif Sundberg"
"5","Utvisning","11:13","","Maria Gidhammar","Klockarbergets BK","Period2","Slag",2,"IBK Härnösand - Klockarbergets BK","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"6","Utvisning","03:53","","Maria Gidhammar","Klockarbergets BK","Period3","Fasthållning",2,"IBK Härnösand - Klockarbergets BK","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"7","Utvisning","11:08","","Josefine Thunholm","Klockarbergets BK","Period3","Fasthållning",2,"IBK Härnösand - Klockarbergets BK","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"8","Utvisning","17:38","","Linnea Strömberg","Klockarbergets BK","Period3","Otillåten trängning",2,"IBK Härnösand - Klockarbergets BK","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"9","Utvisning","10:02","","Josephine Hallgren","Söderhamns IBF","Period2","Slag",2,"Söderhamns IBF - Jemtland Innebandy","Adrian Melin Näslund","Dennis Wall","Adrian Melin Näslund, Dennis Wall"
"10","Utvisning","12:55","","Sara Nordström","Jemtland Innebandy","Period3","Otillåten trängning",2,"Söderhamns IBF - Jemtland Innebandy","Adrian Melin Näslund","Dennis Wall","Adrian Melin Näslund, Dennis Wall"
"11","Utvisning","11:22","","Emilia Hansson","Sundsvalls IBF 2","Period1","Slag",2,"Klockarberget BK Ungdom - Sundsvalls IBF 2","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"12","Utvisning","13:16","","Frida Ahlgren","Sundsvall FBC","Period1","Slag",2,"Sundsvall FBC - Vattjoms IK","Markus Helsing","Peter Palander","Markus Helsing, Peter Palander"
"13","Utvisning","15:22","","Julia Trapp","Sundsvall FBC","Period2","Hårt spel 2",2,"Sundsvall FBC - Vattjoms IK","Markus Helsing","Peter Palander","Markus Helsing, Peter Palander"
"14","Utvisning","13:04","","Daniella Tarberg","IBK Härnösand","Period1","Hårt spel 2",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"15","Utvisning","15:12","","Maria Gidhammar","Klockarbergets BK","Period1","Obstruktion",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"16","Utvisning","02:53","","Josefine Thunholm","Klockarbergets BK","Period2","Slag",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"17","Utvisning","13:05","","Frida Andersson","IBK Härnösand","Period2","Spel utan klubba",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"18","Utvisning","15:26","","Maria Gidhammar","Klockarbergets BK","Period2","Slag",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"19","Utvisning","15:26","","Maria Gidhammar","Klockarbergets BK","Period2","Hårt spel 2",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"20","Utvisning","17:12","","Anneli Kangas","IBK Härnösand","Period2","Obstruktion",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"21","Utvisning","16:28","","Maria Gidhammar","Klockarbergets BK","Period3","Otillåten trängning",2,"Klockarbergets BK - IBK Härnösand","Mikael Körning","Anders Öbergh","Mikael Körning, Anders Öbergh"
"22","Utvisning","04:44","","Vilma Abrahamsson","Sundsvalls IBF 2","Period2","Fördröjande av spelet",2,"Sundsvalls IBF 2 - Klockarberget BK Ungdom","Arvid Larsson","Fredrik Strese","Arvid Larsson, Fredrik Strese"
"23","Utvisning","08:52","","Fanny Selin","Sundsvalls IBF 2","Period2","Hårt spel 2",2,"Sundsvalls IBF 2 - Klockarberget BK Ungdom","Arvid Larsson","Fredrik Strese","Arvid Larsson, Fredrik Strese"
