"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","13:44","4-1","Julia Brandt","Team Kalix IBK D1","Period1","Sunderby SK D1 - Team Kalix IBK D1","Straff","Johan Nyström","Dick Sandberg","Johan Nyström, Dick Sandberg"
"2","Straffmål","02:38","5-3","Julia Brandt","Team Kalix IBK D1","Period2","Sunderby SK D1 - Team Kalix IBK D1","Straff","Johan Nyström","Dick Sandberg","Johan Nyström, Dick Sandberg"
"3","Straffmål","12:01","5-6","Emma Sjödin","IBF Argentum 91 / K4 IF D1","Period3","IBF Argentum 91 / K4 IF D1 - Team Kalix IBK D1","Straff","Petter Lindkvist","Christer Uggla","Petter Lindkvist, Christer Uggla"
"4","Missad straff","09:52","","Lisa Johansson","IBF Argentum 91 / K4 IF D1","Period3","IBF Argentum 91 / K4 IF D1 - Team Kalix IBK D1","Straff","Christoffer Flemström","Oscar Sundbaum","Christoffer Flemström, Oscar Sundbaum"
"5","Räddad straff","12:06","","Camilla Särkiniva","Haparanda AIK D1","Period1","IBK Luleå D1 - Haparanda AIK D1","Straff","Daniel Giornetti","Johan Kemi","Daniel Giornetti, Johan Kemi"
"6","Straffmål","12:17","5-0","Erika Pirilä","IBK Luleå D1","Period1","IBK Luleå D1 - Haparanda AIK D1","Straff","Daniel Giornetti","Johan Kemi","Daniel Giornetti, Johan Kemi"
"7","Straffmål","17:32","0-4","Linda Söderlund","Öjebyns IBF D1","Period1","Öjebyns IBF D1 - Notvikens IK Vets D1","Straff","Johan Nyström","Pär Wårell","Johan Nyström, Pär Wårell"
"8","Missad straff","07:25","","Erika Pirilä","IBK Luleå D1","Period1","IBK Luleå D1 - Pajala IF D1","Straff","Petter Lindkvist","Oscar Sundbaum","Petter Lindkvist, Oscar Sundbaum"
"9","Missad straff","15:16","","Matilda Dahlström","IBK Luleå D1","Period2","IBK Luleå D1 - Pajala IF D1","Straff","Petter Lindkvist","Oscar Sundbaum","Petter Lindkvist, Oscar Sundbaum"
"10","Räddad straff","13:14","","Camilla Särkiniva","Haparanda AIK D1","Period2","Team Kalix IBK D1 - Haparanda AIK D1","Straff","Johan Kemi","Axel Wernqvist","Johan Kemi, Axel Wernqvist"
"11","Räddad straff","19:19","","Ida Rutberg","Sunderby SK D1","Period1","Haparanda AIK D1 - Sunderby SK D1","Straff","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"12","Räddad straff","11:54","","Ester Fjällström","Sunderby SK D1","Period1","IBF Argentum 91 / K4 IF D1 - Sunderby SK D1","Straff","Magnus Grahn","Jari Korpi","Magnus Grahn, Jari Korpi"
"13","Räddad straff","14:04","","Julia Brandt","Team Kalix IBK D1","Period3","Team Kalix IBK D1 - Notvikens IK Vets D1","Straff","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
