"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Sommensjö","IFU Arena A",1,2,"IK Sirius IBK",1
"2","Alexander Sommensjö","IFU Arena A",1,2,"KAIS Mora UIF",1
"3","Alexander Sommensjö","Stenhagen BoKC",1,2,"IBF Falun Ungdom",1
"4","Alexander Sommensjö","Stenhagen BoKC",1,2,"Stenhagens KK",1
"5","Amir Zilic","JALAS® Arena 1",1,6,"IBF Falun Ungdom",1
"6","Amir Zilic","JALAS® Arena 1",1,6,"Gävle GIK",1
"7","Amir Zilic","Maserhallen",3,6,"IBF Falun Ungdom",1
"8","Amir Zilic","Maserhallen",3,6,"IBF Borlänge",3
"9","Amir Zilic","Maserhallen",3,6,"Storvreta IBK",1
"10","Amir Zilic","Maserhallen",3,6,"KAIS Mora UIF",1
"11","Amir Zilic","Vasahallen",2,6,"Alunda IBF",1
"12","Amir Zilic","Vasahallen",2,6,"IBF Hedemora",2
"13","Amir Zilic","Vasahallen",2,6,"Storvreta IBK",1
"14","Anders Ståhlberg","IFU Arena – DHinox",1,2,"IBF Falun Ungdom",1
"15","Anders Ståhlberg","IFU Arena – DHinox",1,2,"Hagunda IF",1
"16","Anders Ståhlberg","IFU Arena A",1,2,"Storvreta IBK",1
"17","Anders Ståhlberg","IFU Arena A",1,2,"Alunda IBF",1
"18","Arvid Englund","Ekilla Sporthall",1,10,"IBF Hedemora",1
"19","Arvid Englund","Ekilla Sporthall",1,10,"Arlanda IBK",1
"20","Arvid Englund","IFU Arena A",3,10,"IBF Borlänge",1
"21","Arvid Englund","IFU Arena A",3,10,"Gävle GIK",1
"22","Arvid Englund","IFU Arena A",3,10,"Stenhagens KK",1
"23","Arvid Englund","IFU Arena A",3,10,"Hagunda IF",1
"24","Arvid Englund","IFU Arena A",3,10,"Storvreta IBK",2
"25","Arvid Englund","Olandshallen",3,10,"Stenhagens KK",1
"26","Arvid Englund","Olandshallen",3,10,"Alunda IBF",3
"27","Arvid Englund","Olandshallen",3,10,"IBF Hedemora",1
"28","Arvid Englund","Olandshallen",3,10,"IK Sirius IBK",1
"29","Arvid Englund","Stenhagen BoKC",3,10,"IBF Falun Ungdom",1
"30","Arvid Englund","Stenhagen BoKC",3,10,"Alunda IBF",1
"31","Arvid Englund","Stenhagen BoKC",3,10,"Stenhagens KK",3
