"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",3,3,"Vindelns IF",1
"2","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",3,3,"Obbola IK",1
"3","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",3,3,"Hörnefors IF",1
"4","Andreas Nyman, Fredrik Söderholm","Skyttis Arena",3,3,"Gullänget-Kroksta IBS",3
"5","Bjarne Andersson, Björn Glad","Midgårdshallen",1,2,"IBK Umeå Norr",1
"6","Bjarne Andersson, Björn Glad","Midgårdshallen",1,2,"Gullänget-Kroksta IBS",1
"7","Bjarne Andersson, Björn Glad","Musköten 2",1,2,"Rönnskär Railcare IF",1
"8","Bjarne Andersson, Björn Glad","Musköten 2",1,2,"IBS Dalen",1
"9","Bjarne Andersson, Roger Karlsson","Hammarhallen Vännäs",1,1,"Vindelns IF",1
"10","Bjarne Andersson, Roger Karlsson","Hammarhallen Vännäs",1,1,"Spöland Vännäs IF",1
"11","Björn Glad","Midgårdshallen",1,1,"IBK Umeå Norr",1
"12","Björn Glad","Midgårdshallen",1,1,"Täfteå IK",1
"13","Daniel Degerman, Andreas Åström","Morö Backe A",1,1,"Hörnefors IF",1
"14","Daniel Degerman, Andreas Åström","Morö Backe A",1,1,"FBC Moröbacke",1
"15","Daniel Degerman, Johan Rönnberg","Eddahallen",1,2,"IBK Umeå Norr",1
"16","Daniel Degerman, Johan Rönnberg","Eddahallen",1,2,"Clemensnäs IF",1
"17","Daniel Degerman, Johan Rönnberg","Morö Backe A",1,2,"FBC Moröbacke",1
"18","Daniel Degerman, Johan Rönnberg","Morö Backe A",1,2,"Täfteå IK",1
"19","Daniel Degerman, Patrik Häggström","Eddahallen",1,1,"IBK Umeå Norr",1
"20","Daniel Degerman, Patrik Häggström","Eddahallen",1,1,"FBC Moröbacke",1
"21","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"Rönnskär Railcare IF",5
"22","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"Holmsund City IBC",1
"23","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"Umeå City IBF",1
"24","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"FBC Moröbacke",2
"25","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"Gullänget-Kroksta IBS",1
"26","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"Gimonäs Umeå IBF",1
"27","David Jonsson, Johan Rönnberg","Eddahallen",8,10,"IK SPIF Umeå",1
