"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","05:33","","Emil Johansson","Nybro IBK","Period2","Slag",2,"Ingelstad IBK - Nybro IBK","Niklas Rosberg","Rasmus Wirstam","Niklas Rosberg, Rasmus Wirstam"
"2","Utvisning","09:09","","David Ohlsson","Nybro IBK","Period3","Låsning av klubba",2,"Ingelstad IBK - Nybro IBK","Niklas Rosberg","Rasmus Wirstam","Niklas Rosberg, Rasmus Wirstam"
"3","Utvisning","15:57","","Emil Johansson","Nybro IBK","Period3","Otillåten trängning",2,"Ingelstad IBK - Nybro IBK","Niklas Rosberg","Rasmus Wirstam","Niklas Rosberg, Rasmus Wirstam"
"4","Utvisning","11:52","","Patrik Karlsson","Vimmerby IBK","Period1","Fasthållning",2,"Vimmerby IBK - FBC Karlskrona","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"5","Utvisning","17:00","","Simon Andersson","FBC Karlskrona","Period1","Slag",2,"Vimmerby IBK - FBC Karlskrona","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"6","Utvisning","00:00","","Alexander Johansson","Vimmerby IBK","Period2","Fördröjande av spelet",2,"Vimmerby IBK - FBC Karlskrona","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"7","Utvisning","00:00","","Lucas Svahn","FBC Karlskrona","Period2","Fördröjande av spelet",2,"Vimmerby IBK - FBC Karlskrona","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"8","Utvisning","19:19","","Isac Månsson","FBC Karlskrona","Period3","Otillåten trängning",2,"Vimmerby IBK - FBC Karlskrona","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"9","Utvisning","11:32","","Rasmus Nilsson","Månsarps IBK","Period2","Upprepade förseelser",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"10","Utvisning","20:00","","Edvin Lundmark","Månsarps IBK","Period2","Hårt spel 2",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"11","Utvisning","05:59","","Felix Andreasson","Månsarps IBK","Period3","Slag",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"12","Utvisning","10:47","","Simon Svensson","Månsarps IBK","Period3","Slag",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"13","Utvisning","15:13","","Elof Laakso","Nybro IBK","Period3","Obstruktion",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"14","Utvisning","15:35","","Jonathan Persson","Månsarps IBK","Period3","Slag",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"15","Utvisning","16:06","","Simon Eriksson","Nybro IBK","Period3","Liggande spel",2,"Nybro IBK - Månsarps IBK","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"16","Utvisning","04:07","","Emil Andersson","CL98IC","Period2","Hårt spel 2",2,"Gnosjö IBK - CL98IC","Senad Hamula","Linus Sandberg","Senad Hamula, Linus Sandberg"
"17","Utvisning","09:56","","Linus Lorenzen","Gnosjö IBK","Period2","Liggande spel",2,"Gnosjö IBK - CL98IC","Senad Hamula","Linus Sandberg","Senad Hamula, Linus Sandberg"
"18","Utvisning","11:10","","Gustaf Kvarnvik","Gnosjö IBK","Period3","Obstruktion",2,"Gnosjö IBK - CL98IC","Senad Hamula","Linus Sandberg","Senad Hamula, Linus Sandberg"
"19","Utvisning","12:58","","Filip Larsson","Gnosjö IBK","Period3","Slag",2,"Gnosjö IBK - CL98IC","Senad Hamula","Linus Sandberg","Senad Hamula, Linus Sandberg"
"20","Utvisning","08:52","","Erik Schöld Jingåker","Nässjö IBF","Period3","Obstruktion",2,"Nässjö IBF - Stenåsa-Sandby-Gårdby IF","Henrik Carlsson","Joacim Olofsson","Henrik Carlsson, Joacim Olofsson"
"21","Utvisning","19:35","","Emil Birgersson","Vetlanda IBF","Period3","Obstruktion",2,"CL98IC - Vetlanda IBF","Viktor Bringstam","Edo Sabanovic","Viktor Bringstam, Edo Sabanovic"
"22","Utvisning","18:17","","Emil Claesson","Gnosjö IBK","Period1","Hårt spel 2",2,"Gnosjö IBK - Ingelstad IBK","Oliver Hillerström","Gustav Jarnegren","Oliver Hillerström, Gustav Jarnegren"
"23","Utvisning","17:08","","Gustaf Kvarnvik","Gnosjö IBK","Period2","Hårt spel 2",2,"Gnosjö IBK - Ingelstad IBK","Oliver Hillerström","Gustav Jarnegren","Oliver Hillerström, Gustav Jarnegren"
"24","Utvisning","11:08","","Eric Carlsson","Gnosjö IBK","Period3","Slag",2,"Gnosjö IBK - Ingelstad IBK","Oliver Hillerström","Gustav Jarnegren","Oliver Hillerström, Gustav Jarnegren"
"25","Utvisning","07:01","","Anton Ericsson","Ingelstad IBK","Period2","Hårt spel 2",2,"Gnosjö IBK - Ingelstad IBK","Per Elofsson","Ulf Åberg","Per Elofsson, Ulf Åberg"
