"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Christoffer Söderström, Marcus Yngvesson","Kullavikshallen",1,1,"Sandö IBK",1
"2","Christoffer Söderström, Marcus Yngvesson","Kullavikshallen",1,1,"Särö IBK",1
"3","Eino Kozan, Christoffer Söderström","Kattegatthallen",1,1,"Träslövsläge IF",1
"4","Eino Kozan, Christoffer Söderström","Kattegatthallen",1,1,"Falkenbergs IBK",1
"5","Henrik Andersson, Magnus Gullquist","Ankarhallen",1,3,"Sandö IBK",1
"6","Henrik Andersson, Magnus Gullquist","Ankarhallen",1,3,"Träslövsläge IF",1
"7","Henrik Andersson, Magnus Gullquist","Brearedshallen",1,3,"Träslövsläge IF",1
"8","Henrik Andersson, Magnus Gullquist","Brearedshallen",1,3,"Vinbergs IBS",1
"9","Henrik Andersson, Magnus Gullquist","Kattegatthallen",1,3,"Veddige IBK",1
"10","Henrik Andersson, Magnus Gullquist","Kattegatthallen",1,3,"Falkenbergs IBK",1
"11","Henrik Andersson, Mats Andersson","Falkhallen",1,5,"Vinbergs IBS",1
"12","Henrik Andersson, Mats Andersson","Falkhallen",1,5,"Falkenbergs IBK",1
"13","Henrik Andersson, Mats Andersson","Presse Idrottshall",1,5,"Onsala IBK",1
"14","Henrik Andersson, Mats Andersson","Presse Idrottshall",1,5,"Kustens IF",1
"15","Henrik Andersson, Mats Andersson","Vallda Idrottshall",1,5,"Warberg IBF",1
"16","Henrik Andersson, Mats Andersson","Vallda Idrottshall",1,5,"Sandö IBK",1
"17","Henrik Andersson, Mats Andersson","Vidhögehallen",1,5,"Veddige IBK",1
"18","Henrik Andersson, Mats Andersson","Vidhögehallen",1,5,"Träslövsläge IF",1
"19","Henrik Andersson, Mats Andersson","Vinbergs Idrottshall",1,5,"Vinbergs IBS",1
"20","Henrik Andersson, Mats Andersson","Vinbergs Idrottshall",1,5,"Veddige IBK",1
"21","Henrik Andersson, Nico Berg","Vinbergs Idrottshall",1,1,"Onsala IBK",1
"22","Henrik Andersson, Nico Berg","Vinbergs Idrottshall",1,1,"Vinbergs IBS",1
"23","Henrik Andersson, Peter Bergstrand","Vinbergs Idrottshall",1,1,"Träslövsläge IF",1
"24","Henrik Andersson, Peter Bergstrand","Vinbergs Idrottshall",1,1,"Vinbergs IBS",1
"25","Henrik Andersson, Tobias Sandblom","Kattegatthallen",1,2,"Falkenbergs IBK",1
"26","Henrik Andersson, Tobias Sandblom","Kattegatthallen",1,2,"Kustens IF",1
"27","Henrik Andersson, Tobias Sandblom","Presse Idrottshall",1,2,"Onsala IBK",1
"28","Henrik Andersson, Tobias Sandblom","Presse Idrottshall",1,2,"Veddige IBK",1
"29","Jonas Söderberg, Christoffer Söderström","Kullavikshallen",2,9,"Vinbergs IBS",1
"30","Jonas Söderberg, Christoffer Söderström","Kullavikshallen",2,9,"Särö IBK",2
"31","Jonas Söderberg, Christoffer Söderström","Kullavikshallen",2,9,"Onsala IBK",1
"32","Jonas Söderberg, Christoffer Söderström","Presse Idrottshall",1,9,"Onsala IBK",1
"33","Jonas Söderberg, Christoffer Söderström","Presse Idrottshall",1,9,"Sandö IBK",1
"34","Jonas Söderberg, Christoffer Söderström","Sparbanken Wictory Center, Salmingplanen",1,9,"Träslövsläge IF",1
"35","Jonas Söderberg, Christoffer Söderström","Sparbanken Wictory Center, Salmingplanen",1,9,"Warberg IBF",1
"36","Jonas Söderberg, Christoffer Söderström","Vallda Idrottshall",1,9,"Träslövsläge IF",1
"37","Jonas Söderberg, Christoffer Söderström","Vallda Idrottshall",1,9,"Sandö IBK",1
"38","Jonas Söderberg, Christoffer Söderström","Vidhögehallen",3,9,"Sandö IBK",1
"39","Jonas Söderberg, Christoffer Söderström","Vidhögehallen",3,9,"Kustens IF",1
"40","Jonas Söderberg, Christoffer Söderström","Vidhögehallen",3,9,"Veddige IBK",3
"41","Jonas Söderberg, Christoffer Söderström","Vidhögehallen",3,9,"Vinbergs IBS",1
"42","Jonas Söderberg, Christoffer Söderström","Vinbergs Idrottshall",1,9,"Vinbergs IBS",1
"43","Jonas Söderberg, Christoffer Söderström","Vinbergs Idrottshall",1,9,"Särö IBK",1
