"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","07:47","","David Emanuelz","Ingarö IF (A)","Period2","Upprepade förseelser",2,"IBF Offensiv Lidingö (A) - Ingarö IF (A)","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"2","Utvisning","02:15","","Albert Olofsson","IBF Offensiv Lidingö (A)","Period3","Otillåten trängning",2,"IBF Offensiv Lidingö (A) - Ingarö IF (A)","John Awabdeh","Jonathan Varli","John Awabdeh, Jonathan Varli"
"3","Utvisning","06:45","","Ludvig Bloss","Balrog B/S IK","Period3","Obstruktion",2,"Balrog B/S IK - Åkersberga IBF (A)","Jonas Edström","Johannes Ekenberg","Jonas Edström, Johannes Ekenberg"
"4","Utvisning","10:28","","Jesper Nyblom","Åkersberga IBF (A)","Period3","Slag",2,"Balrog B/S IK - Åkersberga IBF (A)","Jonas Edström","Johannes Ekenberg","Jonas Edström, Johannes Ekenberg"
"5","Utvisning","19:59","","Adam Siewer","Balrog B/S IK","Period3","Hårt spel 2",2,"Balrog B/S IK - Åkersberga IBF (A)","Jonas Edström","Johannes Ekenberg","Jonas Edström, Johannes Ekenberg"
"6","Utvisning","10:02","","Albin Rydberg","Ekerö IK","Period2","Slag",2,"Ekerö IK - Tumba GOIF","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"7","Utvisning","19:59","","Jacob Henningsson","Tumba GOIF","Period2","Hårt spel 2",2,"Ekerö IK - Tumba GOIF","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"8","Utvisning","00:35","","","Tumba GOIF","Period3","Matchstraff 1",20,"Ekerö IK - Tumba GOIF","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"9","Utvisning","09:35","","Fredrik Leijon","Tumba GOIF","Period3","Slag",2,"Ekerö IK - Tumba GOIF","Magnus Johansson","Tim Sandström","Magnus Johansson, Tim Sandström"
"10","Utvisning","06:02","","Martin Stark","Nacka Wallenstam IBK","Period1","Felaktigt byte",2,"Huddinge IBS - Nacka Wallenstam IBK","Johannes Ekenberg","Elis Erbing","Johannes Ekenberg, Elis Erbing"
"11","Utvisning","15:41","","Carl Olsson","Huddinge IBS","Period1","Slag",2,"Huddinge IBS - Nacka Wallenstam IBK","Johannes Ekenberg","Elis Erbing","Johannes Ekenberg, Elis Erbing"
"12","Utvisning","01:33","","Jonathan Andersson","Nacka Wallenstam IBK","Period2","Liggande spel",2,"Huddinge IBS - Nacka Wallenstam IBK","Johannes Ekenberg","Elis Erbing","Johannes Ekenberg, Elis Erbing"
"13","Utvisning","12:55","","Andreas Hagert","Runby IBK","Period1","Fasthållning",2,"Hammarbyhöjden IBK - Runby IBK","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"14","Utvisning","13:35","","Nils Philip Wiberg","Hammarbyhöjden IBK","Period1","Liggande spel",2,"Hammarbyhöjden IBK - Runby IBK","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"15","Utvisning","06:52","","Andreas Hagert","Runby IBK","Period2","Slag",2,"Hammarbyhöjden IBK - Runby IBK","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"16","Utvisning","09:09","","Nils Philip Wiberg","Hammarbyhöjden IBK","Period2","Hårt spel 2",2,"Hammarbyhöjden IBK - Runby IBK","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
"17","Utvisning","08:34","","Niklas Sudin","Runby IBK","Period3","Fasthållning",2,"Hammarbyhöjden IBK - Runby IBK","Fredrik Landin","Jimmy Rittervall","Fredrik Landin, Jimmy Rittervall"
