"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Arvid Englund, Andreas Svensson","Enahallen",1,1,"Södra Tolvfors IF",1
"2","Arvid Englund, Andreas Svensson","Enahallen",1,1,"Lokomotiv Grillby IBK",1
"3","Arvid Englund, Michaela Pålsson","Enahallen",2,12,"Björklinge BK",1
"4","Arvid Englund, Michaela Pålsson","Enahallen",2,12,"Lokomotiv Grillby IBK",2
"5","Arvid Englund, Michaela Pålsson","Enahallen",2,12,"Strömsbro IF",1
"6","Arvid Englund, Michaela Pålsson","Frösåkersskolan",1,12,"IBK Östhammar",1
"7","Arvid Englund, Michaela Pålsson","Frösåkersskolan",1,12,"Strömsbro IF",1
"8","Arvid Englund, Michaela Pålsson","IFU Arena – Lundqvist EL",3,12,"Skutskärs IBK",1
"9","Arvid Englund, Michaela Pålsson","IFU Arena – Lundqvist EL",3,12,"IK Sirius FBC",3
"10","Arvid Englund, Michaela Pålsson","IFU Arena – Lundqvist EL",3,12,"Strömsbro IF",1
"11","Arvid Englund, Michaela Pålsson","IFU Arena – Lundqvist EL",3,12,"Björklinge BK",1
"12","Arvid Englund, Michaela Pålsson","IFU Arena A",2,12,"IK Sirius FBC",1
"13","Arvid Englund, Michaela Pålsson","IFU Arena A",2,12,"Livets Ord IF",1
"14","Arvid Englund, Michaela Pålsson","IFU Arena A",2,12,"IBF Borlänge",1
"15","Arvid Englund, Michaela Pålsson","IFU Arena A",2,12,"Björklinge BK",1
"16","Arvid Englund, Michaela Pålsson","Rotskärsskolans Sporthall",1,12,"Björklinge BK",1
"17","Arvid Englund, Michaela Pålsson","Rotskärsskolans Sporthall",1,12,"Skutskärs IBK",1
"18","Arvid Englund, Michaela Pålsson","Uppsala Life Arena",3,12,"Insjöns BK",1
"19","Arvid Englund, Michaela Pålsson","Uppsala Life Arena",3,12,"Livets Ord IF",3
"20","Arvid Englund, Michaela Pålsson","Uppsala Life Arena",3,12,"KFUM Falun",1
"21","Arvid Englund, Michaela Pålsson","Uppsala Life Arena",3,12,"Björklinge BK",1
"22","Benny Grönblad, Jonas Tidsjö","Testebo Arena",1,1,"Björklinge BK",1
"23","Benny Grönblad, Jonas Tidsjö","Testebo Arena",1,1,"Strömsbro IF",1
"24","Daniel Larsson, Amir Zilic","Leksandshallen",4,10,"IBF Gagnef",1
"25","Daniel Larsson, Amir Zilic","Leksandshallen",4,10,"Insjöns BK",4
"26","Daniel Larsson, Amir Zilic","Leksandshallen",4,10,"Strömsbro IF",1
"27","Daniel Larsson, Amir Zilic","Leksandshallen",4,10,"IK Sirius FBC",1
"28","Daniel Larsson, Amir Zilic","Leksandshallen",4,10,"IBK Östhammar",1
"29","Daniel Larsson, Amir Zilic","Lugnet C",1,10,"Livets Ord IF",1
"30","Daniel Larsson, Amir Zilic","Lugnet C",1,10,"KFUM Falun",1
"31","Daniel Larsson, Amir Zilic","Maserhallen",2,10,"IBF Borlänge ",2
"32","Daniel Larsson, Amir Zilic","Maserhallen",2,10,"Björklinge BK",1
"33","Daniel Larsson, Amir Zilic","Maserhallen",2,10,"KFUM Falun",1
"34","Daniel Larsson, Amir Zilic","Mockfjärds Sporthall",2,10,"IBF Gagnef",2
"35","Daniel Larsson, Amir Zilic","Mockfjärds Sporthall",2,10,"IBF Borlänge",1
"36","Daniel Larsson, Amir Zilic","Mockfjärds Sporthall",2,10,"Södra Tolvfors IF",1
"37","Daniel Larsson, Amir Zilic","Testebo Arena",1,10,"Strömsbro IF",1
"38","Daniel Larsson, Amir Zilic","Testebo Arena",1,10,"KFUM Falun",1
"39","Daniel Larsson, Magnus Undén","Maserhallen",1,1,"IBK Östhammar",1
