"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Adrian Melin Näslund","Torvallaskolans sporthall",2,2,"Söderhamns IBF",1
"2","Adrian Melin Näslund","Torvallaskolans sporthall",2,2,"Sundsvall FBC",1
"3","Adrian Melin Näslund","Torvallaskolans sporthall",2,2,"Jemtland Innebandy",2
"4","Alexander Bergman","Hagahallen",1,4,"Jemtland Innebandy",1
"5","Alexander Bergman","Hagahallen",1,4,"Sundsvalls IBF 2",1
"6","Alexander Bergman","Matfors Sporthall",1,4,"Söderhamns IBF",1
"7","Alexander Bergman","Matfors Sporthall",1,4,"Vattjoms IK",1
"8","Alexander Bergman","Njurundahallen",1,4,"Vattjoms IK",1
"9","Alexander Bergman","Njurundahallen",1,4,"Klockarbergets BK",1
"10","Alexander Bergman","Timrå Sporthall",1,4,"Sundsvalls IBF 2",1
"11","Alexander Bergman","Timrå Sporthall",1,4,"Timrå IBC",1
"12","Anders Johansson","Matfors Sporthall",5,5,"Sundsvall FBC",1
"13","Anders Johansson","Matfors Sporthall",5,5,"Vattjoms IK",4
"14","Anders Johansson","Matfors Sporthall",5,5,"Jemtland Innebandy",1
"15","Anders Johansson","Matfors Sporthall",5,5,"Timrå IBC",1
"16","Anders Johansson","Matfors Sporthall",5,5,"Vattjoms IK",1
"17","Anders Johansson","Matfors Sporthall",5,5,"Klockarberget BK Ungdom",1
"18","Anders Johansson","Matfors Sporthall",5,5,"FBC Bollnäs",1
"19","Anders Öbergh","Öbacka SC",2,2,"FBC Bollnäs",1
"20","Anders Öbergh","Öbacka SC",2,2,"Klockarbergets BK",1
"21","Anders Öbergh","Öbacka SC",2,2,"IBK Härnösand",2
"22","Andreas Bjurman","Timrå Sporthall",1,1,"Timrå IBC",1
"23","Andreas Bjurman","Timrå Sporthall",1,1,"Vattjoms IK",1
"24","Andreas Lindberg","Njurundahallen",1,1,"Söderhamns IBF",1
"25","Andreas Lindberg","Njurundahallen",1,1,"Klockarberget BK Ungdom",1
"26","Andreas Nyman","Öbacka SC",1,1,"Sundsvalls IBF 2",1
"27","Andreas Nyman","Öbacka SC",1,1,"IBK Härnösand",1
"28","Arvid Larsson","Hagahallen",2,10,"Sundsvalls IBF 2",1
"29","Arvid Larsson","Hagahallen",2,10,"Jemtland Innebandy",1
"30","Arvid Larsson","Hagahallen",2,10,"Sundsvalls IBF 2",1
"31","Arvid Larsson","Hagahallen",2,10,"Sundsvall FBC",1
"32","Arvid Larsson","Matfors Sporthall",2,10,"Vattjoms IK",1
"33","Arvid Larsson","Matfors Sporthall",2,10,"Söderhamns IBF",1
