"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","10:46","","Amanda Larsson","Jemtland Innebandy","Period1","Jemtland Innebandy - Vattjoms IK","Straff","Mats Finke","Urban Larsson","Mats Finke, Urban Larsson"
"2","Missad straff","00:44","","Tuva Löf","FBC Bollnäs","Period3","FBC Bollnäs - Sundsvalls IBF 2","Straff","Michael Hoek","Jimmy Löfgren","Michael Hoek, Jimmy Löfgren"
"3","Straffmål","04:00","3-4","Felicia Höglund","Sundsvall FBC","Period3","Sundsvall FBC - Jemtland Innebandy","Straff","Adrian Melin Näslund","Robert Olofsson","Adrian Melin Näslund, Robert Olofsson"
"4","Missad straff","11:38","","Miriam Maul","IBK Härnösand","Period2","Söderhamns IBF - IBK Härnösand","Straff","Niclas Olsson","Mats Sjöqvist","Niclas Olsson, Mats Sjöqvist"
"5","Räddad straff","19:56","","Emma Boänges","FBC Bollnäs","Period3","FBC Bollnäs - IBK Härnösand","Straff","Robert Mårtensson","Mats Sjöqvist","Robert Mårtensson, Mats Sjöqvist"
"6","Räddad straff","16:20","","Maja Medelberg","Klockarberget BK Ungdom","Period3","Klockarberget BK Ungdom - Vattjoms IK","Straff","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"7","Missad straff","10:25","","Agnes Edlund","FBC Bollnäs","Period1","Jemtland Innebandy - FBC Bollnäs","Straff","Mats Finke","Urban Larsson","Mats Finke, Urban Larsson"
"8","Missad straff","11:48","","Matilda Sjölén","Vattjoms IK","Period2","Timrå IBC - Vattjoms IK","Straff","Andreas Bjurman","Per Pålsson","Andreas Bjurman, Per Pålsson"
"9","Missad straff","17:10","","Ida Nordh","Klockarberget BK Ungdom","Period1","Klockarberget BK Ungdom - Sundsvalls IBF 2","Straff","Thomas Berglund","Roger Lundbäck","Thomas Berglund, Roger Lundbäck"
"10","Straffmål","00:30","2-3","Emma Sarkkinen","Sundsvall FBC","Period2","Sundsvalls IBF 2 - Sundsvall FBC","Straff","Arvid Larsson","Peter Palander","Arvid Larsson, Peter Palander"
"11","Räddad straff","17:52","","Madicken Säterberg","Sundsvalls IBF 2","Period2","Sundsvalls IBF 2 - Timrå IBC","Straff","Per Pålsson","Sofie Öman","Per Pålsson, Sofie Öman"
"12","Missad straff","09:14","","Elina Lodin","Vattjoms IK","Period2","FBC Bollnäs - Vattjoms IK","Straff","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"13","Straffmål","03:18","1-17","Agnes Edlund","FBC Bollnäs","Period3","FBC Bollnäs - Vattjoms IK","Straff","Patrick Cederblad","Anders Johansson","Patrick Cederblad, Anders Johansson"
"14","Missad straff","13:16","","Elin Åström","Söderhamns IBF","Period2","Timrå IBC - Söderhamns IBF","Straff","Roger Lundbäck","Per Pålsson","Roger Lundbäck, Per Pålsson"
