"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Pettersson","Idrottshuset Haparanda",1,3,"Haparanda AIK D1",1
"2","Alexander Pettersson","Idrottshuset Haparanda",1,3,"IBK Boden D1",1
"3","Alexander Pettersson","Norrmalmia Sph",1,3,"Sunderby SK D1",1
"4","Alexander Pettersson","Norrmalmia Sph",1,3,"Öjebyns IBF D1",1
"5","Alexander Pettersson","Pajala Sp",1,3,"IBK Luleå D1",1
"6","Alexander Pettersson","Pajala Sp",1,3,"Pajala IF D1",1
"7","André Selander","Idrottshuset Haparanda",1,3,"Team Kalix IBK D1",1
"8","André Selander","Idrottshuset Haparanda",1,3,"Haparanda AIK D1",1
"9","André Selander","Sunderby Sp",1,3,"Sunderby SK D1",1
"10","André Selander","Sunderby Sp",1,3,"Pajala IF D1",1
"11","André Selander","Örnäsets Sp",1,3,"IBK Luleå D1",1
"12","André Selander","Örnäsets Sp",1,3,"IBF Argentum 91 / K4 IF D1",1
"13","Axel Wernqvist","Boden Arena",1,3,"IBK Luleå D1",1
"14","Axel Wernqvist","Boden Arena",1,3,"IBK Boden D1",1
"15","Axel Wernqvist","Örnäsets Sp",2,3,"IBF Argentum 91 / K4 IF D1",1
"16","Axel Wernqvist","Örnäsets Sp",2,3,"IBK Luleå D1",1
"17","Axel Wernqvist","Örnäsets Sp",2,3,"Notvikens IK Vets D1",2
"18","Christer Uggla","Boden Arena",2,10,"Sunderby SK D1",1
"19","Christer Uggla","Boden Arena",2,10,"IBK Boden D1",1
"20","Christer Uggla","Boden Arena",2,10,"Team Kalix IBK D1",1
"21","Christer Uggla","Boden Arena",2,10,"IBK Boden D1",1
"22","Christer Uggla","Idrottshuset Haparanda",1,10,"Haparanda AIK D1",1
"23","Christer Uggla","Idrottshuset Haparanda",1,10,"IBF Argentum 91 / K4 IF D1",1
"24","Christer Uggla","ND Hallen",1,10,"IBF Argentum 91 / K4 IF D1",1
"25","Christer Uggla","ND Hallen",1,10,"Notvikens IK Vets D1",1
"26","Christer Uggla","Norrmalmia Sph",2,10,"IBK Luleå D1",1
"27","Christer Uggla","Norrmalmia Sph",2,10,"Öjebyns IBF D1",2
"28","Christer Uggla","Norrmalmia Sph",2,10,"Pajala IF D1",1
"29","Christer Uggla","Sportcity Kalix",2,10,"IBF Argentum 91 / K4 IF D1",1
"30","Christer Uggla","Sportcity Kalix",2,10,"Öjebyns IBF D1",1
"31","Christer Uggla","Sportcity Kalix",2,10,"Team Kalix IBK D1",2
"32","Christer Uggla","Örnäsets Sp",2,10,"Sunderby SK D1",1
"33","Christer Uggla","Örnäsets Sp",2,10,"Notvikens IK Vets D1",1
"34","Christer Uggla","Örnäsets Sp",2,10,"IBK Luleå D1",1
"35","Christer Uggla","Örnäsets Sp",2,10,"Haparanda AIK D1",1
"36","Christoffer Flemström","Boden Arena",1,4,"IBK Boden D1",1
"37","Christoffer Flemström","Boden Arena",1,4,"IBF Argentum 91 / K4 IF D1",1
"38","Christoffer Flemström","Hälsans hus",1,4,"Notvikens IK Vets D1",1
"39","Christoffer Flemström","Hälsans hus",1,4,"Pajala IF D1",1
"40","Christoffer Flemström","Sportcity Kalix",1,4,"Pajala IF D1",1
"41","Christoffer Flemström","Sportcity Kalix",1,4,"Team Kalix IBK D1",1
"42","Christoffer Flemström","Örnäsets Sp",1,4,"IBK Luleå D1",1
"43","Christoffer Flemström","Örnäsets Sp",1,4,"IBF Argentum 91 / K4 IF D1",1
"44","Conny Björnfot","Norrmalmia Sph",1,7,"Öjebyns IBF D1",1
"45","Conny Björnfot","Norrmalmia Sph",1,7,"Pajala IF D1",1
"46","Conny Björnfot","Pajala Sp",3,7,"Öjebyns IBF D1",1
"47","Conny Björnfot","Pajala Sp",3,7,"Pajala IF D1",3
"48","Conny Björnfot","Pajala Sp",3,7,"IBK Boden D1",1
"49","Conny Björnfot","Pajala Sp",3,7,"IBF Argentum 91 / K4 IF D1",1
"50","Conny Björnfot","Sportcity Kalix",1,7,"Team Kalix IBK D1",1
"51","Conny Björnfot","Sportcity Kalix",1,7,"Notvikens IK Vets D1",1
"52","Conny Björnfot","Örnäsets Sp",2,7,"Notvikens IK Vets D1",2
"53","Conny Björnfot","Örnäsets Sp",2,7,"Team Kalix IBK D1",1
"54","Conny Björnfot","Örnäsets Sp",2,7,"IBK Luleå D1",1
"55","Daniel Giornetti","Gammelstad Sp",1,4,"Haparanda AIK D1",1
"56","Daniel Giornetti","Gammelstad Sp",1,4,"IBK Luleå D1",1
