"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Alexander Pettersson","Idrottshuset Haparanda",1,3,"IBK Boden D1",1
"2","Alexander Pettersson","Idrottshuset Haparanda",1,3,"Haparanda AIK D1",1
"3","Alexander Pettersson","Norrmalmia Sph",1,3,"Öjebyns IBF D1",1
"4","Alexander Pettersson","Norrmalmia Sph",1,3,"Sunderby SK D1",1
"5","Alexander Pettersson","Pajala Sp",1,3,"Pajala IF D1",1
"6","Alexander Pettersson","Pajala Sp",1,3,"IBK Luleå D1",1
"7","André Selander","Idrottshuset Haparanda",1,3,"Team Kalix IBK D1",1
"8","André Selander","Idrottshuset Haparanda",1,3,"Haparanda AIK D1",1
"9","André Selander","Sunderby Sp",1,3,"Sunderby SK D1",1
"10","André Selander","Sunderby Sp",1,3,"Pajala IF D1",1
"11","André Selander","Örnäsets Sp",1,3,"IBK Luleå D1",1
"12","André Selander","Örnäsets Sp",1,3,"IBF Argentum 91 / K4 IF D1",1
"13","Axel Wernqvist","Boden Arena",1,2,"IBK Luleå D1",1
"14","Axel Wernqvist","Boden Arena",1,2,"IBK Boden D1",1
"15","Axel Wernqvist","Örnäsets Sp",1,2,"Notvikens IK Vets D1",1
"16","Axel Wernqvist","Örnäsets Sp",1,2,"IBK Luleå D1",1
"17","Christer Uggla","Boden Arena",2,8,"IBK Boden D1",1
"18","Christer Uggla","Boden Arena",2,8,"Sunderby SK D1",1
"19","Christer Uggla","Boden Arena",2,8,"Team Kalix IBK D1",1
"20","Christer Uggla","Boden Arena",2,8,"IBK Boden D1",1
"21","Christer Uggla","Idrottshuset Haparanda",1,8,"Haparanda AIK D1",1
"22","Christer Uggla","Idrottshuset Haparanda",1,8,"IBF Argentum 91 / K4 IF D1",1
"23","Christer Uggla","ND Hallen",1,8,"Notvikens IK Vets D1",1
"24","Christer Uggla","ND Hallen",1,8,"IBF Argentum 91 / K4 IF D1",1
"25","Christer Uggla","Norrmalmia Sph",1,8,"Pajala IF D1",1
"26","Christer Uggla","Norrmalmia Sph",1,8,"Öjebyns IBF D1",1
"27","Christer Uggla","Sportcity Kalix",1,8,"Team Kalix IBK D1",1
"28","Christer Uggla","Sportcity Kalix",1,8,"IBF Argentum 91 / K4 IF D1",1
"29","Christer Uggla","Örnäsets Sp",2,8,"Notvikens IK Vets D1",1
"30","Christer Uggla","Örnäsets Sp",2,8,"Sunderby SK D1",1
"31","Christer Uggla","Örnäsets Sp",2,8,"Haparanda AIK D1",1
"32","Christer Uggla","Örnäsets Sp",2,8,"IBK Luleå D1",1
"33","Christoffer Flemström","Boden Arena",1,4,"IBK Boden D1",1
"34","Christoffer Flemström","Boden Arena",1,4,"IBF Argentum 91 / K4 IF D1",1
"35","Christoffer Flemström","Hälsans hus",1,4,"Notvikens IK Vets D1",1
"36","Christoffer Flemström","Hälsans hus",1,4,"Pajala IF D1",1
"37","Christoffer Flemström","Sportcity Kalix",1,4,"Pajala IF D1",1
"38","Christoffer Flemström","Sportcity Kalix",1,4,"Team Kalix IBK D1",1
"39","Christoffer Flemström","Örnäsets Sp",1,4,"IBF Argentum 91 / K4 IF D1",1
"40","Christoffer Flemström","Örnäsets Sp",1,4,"IBK Luleå D1",1
"41","Conny Björnfot","Norrmalmia Sph",1,7,"Öjebyns IBF D1",1
"42","Conny Björnfot","Norrmalmia Sph",1,7,"Pajala IF D1",1
"43","Conny Björnfot","Pajala Sp",3,7,"Pajala IF D1",3
"44","Conny Björnfot","Pajala Sp",3,7,"Öjebyns IBF D1",1
"45","Conny Björnfot","Pajala Sp",3,7,"IBK Boden D1",1
"46","Conny Björnfot","Pajala Sp",3,7,"IBF Argentum 91 / K4 IF D1",1
"47","Conny Björnfot","Sportcity Kalix",1,7,"Notvikens IK Vets D1",1
"48","Conny Björnfot","Sportcity Kalix",1,7,"Team Kalix IBK D1",1
"49","Conny Björnfot","Örnäsets Sp",2,7,"Notvikens IK Vets D1",2
"50","Conny Björnfot","Örnäsets Sp",2,7,"IBK Luleå D1",1
"51","Conny Björnfot","Örnäsets Sp",2,7,"Team Kalix IBK D1",1
"52","Daniel Giornetti","Gammelstad Sp",1,3,"IBK Luleå D1",1
"53","Daniel Giornetti","Gammelstad Sp",1,3,"Haparanda AIK D1",1
"54","Daniel Giornetti","Norrmalmia Sph",1,3,"Öjebyns IBF D1",1
"55","Daniel Giornetti","Norrmalmia Sph",1,3,"IBF Argentum 91 / K4 IF D1",1
"56","Daniel Giornetti","Sunderby Sp",1,3,"Sunderby SK D1",1
"57","Daniel Giornetti","Sunderby Sp",1,3,"Öjebyns IBF D1",1
"58","Daniel Persson","Pajala Sp",1,1,"IBF Argentum 91 / K4 IF D1",1
"59","Daniel Persson","Pajala Sp",1,1,"Pajala IF D1",1
"60","Dick Sandberg","Idrottshuset Haparanda",1,3,"Team Kalix IBK D1",1
"61","Dick Sandberg","Idrottshuset Haparanda",1,3,"Haparanda AIK D1",1
"62","Dick Sandberg","Sunderby Sp",2,3,"Sunderby SK D1",1
"63","Dick Sandberg","Sunderby Sp",2,3,"Pajala IF D1",1
"64","Dick Sandberg","Sunderby Sp",2,3,"Team Kalix IBK D1",1
"65","Dick Sandberg","Sunderby Sp",2,3,"Sunderby SK D1",1
"66","Erik Hansson","Norrmalmia Sph",1,2,"IBF Argentum 91 / K4 IF D1",1
"67","Erik Hansson","Norrmalmia Sph",1,2,"Öjebyns IBF D1",1
"68","Erik Hansson","Sunderby Sp",1,2,"Sunderby SK D1",1
"69","Erik Hansson","Sunderby Sp",1,2,"Öjebyns IBF D1",1
"70","Felix Roos","Norrmalmia Sph",1,3,"Öjebyns IBF D1",1
"71","Felix Roos","Norrmalmia Sph",1,3,"IBK Boden D1",1
"72","Felix Roos","Sunderby Sp",1,3,"Sunderby SK D1",1
"73","Felix Roos","Sunderby Sp",1,3,"Notvikens IK Vets D1",1
"74","Felix Roos","Örnäsets Sp",1,3,"Öjebyns IBF D1",1
"75","Felix Roos","Örnäsets Sp",1,3,"IBK Luleå D1",1
"76","Gustaf Vallgren","Idrottshuset Haparanda",1,4,"Haparanda AIK D1",1
"77","Gustaf Vallgren","Idrottshuset Haparanda",1,4,"Sunderby SK D1",1
"78","Gustaf Vallgren","Pajala Sp",2,4,"Team Kalix IBK D1",1
"79","Gustaf Vallgren","Pajala Sp",2,4,"Pajala IF D1",2
"80","Gustaf Vallgren","Pajala Sp",2,4,"IBK Luleå D1",1
"81","Gustaf Vallgren","Örnäsets Sp",1,4,"Team Kalix IBK D1",1
"82","Gustaf Vallgren","Örnäsets Sp",1,4,"Notvikens IK Vets D1",1
"83","Jari Korpi","Boden Arena",1,4,"Haparanda AIK D1",1
"84","Jari Korpi","Boden Arena",1,4,"IBK Boden D1",1
"85","Jari Korpi","Sportcity Kalix",1,4,"Team Kalix IBK D1",1
"86","Jari Korpi","Sportcity Kalix",1,4,"IBK Luleå D1",1
"87","Jari Korpi","Sunderby Sp",2,4,"Haparanda AIK D1",1
"88","Jari Korpi","Sunderby Sp",2,4,"IBF Argentum 91 / K4 IF D1",1
"89","Jari Korpi","Sunderby Sp",2,4,"Sunderby SK D1",1
"90","Jari Korpi","Sunderby Sp",2,4,"Sunderby SK D1",1
"91","Johan Kemi","Boden Arena",1,5,"Team Kalix IBK D1",1
"92","Johan Kemi","Boden Arena",1,5,"IBK Boden D1",1
"93","Johan Kemi","Gammelstad Sp",1,5,"IBK Luleå D1",1
"94","Johan Kemi","Gammelstad Sp",1,5,"Haparanda AIK D1",1
