"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","03:32","","Linus Sjöquist","Lokomotiv Grillby IBK","Period2","Hårt spel 2",2,"Lokomotiv Grillby IBK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"2","Utvisning","13:44","","Johan Strandberg Andersson","IK Sirius FBC","Period2","Slag",2,"Lokomotiv Grillby IBK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"3","Utvisning","15:15","","Joakim Nyberg","Livets Ord IF","Period1","Otillåten trängning",2,"Livets Ord IF - Insjöns BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"4","Utvisning","18:37","","Kevin Landgren","Insjöns BK","Period2","Otillåten trängning",2,"Livets Ord IF - Insjöns BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"5","Utvisning","03:35","","Kevin Landgren","Insjöns BK","Period3","Slag",2,"Livets Ord IF - Insjöns BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"6","Utvisning","13:18","","Niclas Jakobsson","Insjöns BK","Period3","Slag",2,"Livets Ord IF - Insjöns BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"7","Utvisning","15:40","","Hugo Nylander","Livets Ord IF","Period3","Ej avlägsnat avslagna klubbdelar",2,"Livets Ord IF - Insjöns BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"8","Utvisning","16:10","","Daniel Pärnebjörk","Lokomotiv Grillby IBK","Period1","Hårt spel 2",2,"Lokomotiv Grillby IBK - IBF Borlänge","Peter Astner","Bo Pettersson Loklint","Peter Astner, Bo Pettersson Loklint"
"9","Utvisning","16:54","","Martin Johansson","Lokomotiv Grillby IBK","Period1","Upprepade förseelser",2,"Lokomotiv Grillby IBK - IBF Borlänge","Peter Astner","Bo Pettersson Loklint","Peter Astner, Bo Pettersson Loklint"
"10","Utvisning","12:06","","Emil Lenne","IBF Borlänge","Period3","Slag",2,"Lokomotiv Grillby IBK - IBF Borlänge","Peter Astner","Bo Pettersson Loklint","Peter Astner, Bo Pettersson Loklint"
"11","Utvisning","04:36","","Simon Utter","Strömsbro IF","Period2","Hårt spel 2",2,"Strömsbro IF - IBF Borlänge","Mattias Hedberg","Magnus Undén","Mattias Hedberg, Magnus Undén"
"12","Utvisning","16:10","","Andreas Zettergren","IBF Borlänge","Period2","Slag",2,"Strömsbro IF - IBF Borlänge","Mattias Hedberg","Magnus Undén","Mattias Hedberg, Magnus Undén"
"13","Utvisning","19:08","","Simon Utter","Strömsbro IF","Period2","Hårt spel 2",2,"Strömsbro IF - IBF Borlänge","Mattias Hedberg","Magnus Undén","Mattias Hedberg, Magnus Undén"
"14","Utvisning","13:03","","Pontus Jansson-Cabrera","IBF Borlänge","Period3","Slag",2,"Strömsbro IF - IBF Borlänge","Mattias Hedberg","Magnus Undén","Mattias Hedberg, Magnus Undén"
"15","Utvisning","00:13","","Aydin Samuelsson","Livets Ord IF","Period3","Hands",2,"Livets Ord IF - Björklinge BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"16","Utvisning","11:52","","Josef Samuelsson","Livets Ord IF","Period3","Hårt spel 2",2,"Livets Ord IF - Björklinge BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"17","Utvisning","11:52","","Henrik Wik","Björklinge BK","Period3","Hårt spel 2",2,"Livets Ord IF - Björklinge BK","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"18","Utvisning","02:25","","Samuel Eriksson","IBK Östhammar","Period2","Obstruktion",2,"IBK Östhammar - Strömsbro IF","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"19","Utvisning","07:57","","Adam Söderström","Strömsbro IF","Period2","Otillåten trängning",2,"IBK Östhammar - Strömsbro IF","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"20","Utvisning","19:00","","Tomas Markus Bosch","IBK Östhammar","Period3","Otillåten trängning",2,"IBK Östhammar - Strömsbro IF","Arvid Englund","Michaela Pålsson","Arvid Englund, Michaela Pålsson"
"21","Utvisning","12:00","","Jesper Malmborg","IBK Östhammar","Period2","Hårt spel 2",2,"IBK Östhammar - Strömsbro IF","Mattias Hedberg","Erik Lindberg","Mattias Hedberg, Erik Lindberg"
"22","Utvisning","19:38","","Magnus Haglund","Strömsbro IF","Period2","Liggande spel",2,"IBK Östhammar - Strömsbro IF","Mattias Hedberg","Erik Lindberg","Mattias Hedberg, Erik Lindberg"
"23","Utvisning","02:22","","Robert Korhonen","Strömsbro IF","Period3","Slag",2,"IBK Östhammar - Strömsbro IF","Mattias Hedberg","Erik Lindberg","Mattias Hedberg, Erik Lindberg"
"24","Utvisning","12:44","","Kasper Laméus","Skutskärs IBK","Period1","Lyftning av klubba",2,"IBF Gagnef - Skutskärs IBK","Jörgen Andersson","Daniel Larsson","Jörgen Andersson, Daniel Larsson"
"25","Utvisning","09:59","","Joakim Nätterqvist","IBF Gagnef","Period3","Otillåten trängning",2,"IBF Gagnef - Skutskärs IBK","Jörgen Andersson","Daniel Larsson","Jörgen Andersson, Daniel Larsson"
"26","Utvisning","12:06","","Martin Hammarsten","Björklinge BK","Period1","Hög klubba",2,"Björklinge BK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"27","Utvisning","14:25","","Linus Park","IK Sirius FBC","Period1","Otillåten trängning",2,"Björklinge BK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"28","Utvisning","06:32","","Linus Park","IK Sirius FBC","Period2","För många spelare på plan",2,"Björklinge BK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"29","Utvisning","05:58","","Viktor Johansson","Björklinge BK","Period3","Slag",2,"Björklinge BK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"30","Utvisning","11:46","","Adam Forsberg","Björklinge BK","Period3","Hårt spel 5",5,"Björklinge BK - IK Sirius FBC","Peter Alenbring","Pontus Orebrand","Peter Alenbring, Pontus Orebrand"
"31","Utvisning","05:10","","Albin Högman","IBF Borlänge","Period2","Fasthållning",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"32","Utvisning","09:52","","Martin Johansson","Lokomotiv Grillby IBK","Period2","Slag",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"33","Utvisning","13:08","","Rikard Forsberg Posta","Lokomotiv Grillby IBK","Period2","Fasthållning",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"34","Utvisning","04:11","","Dennis Eriksson Brown","Lokomotiv Grillby IBK","Period3","Upprepade förseelser",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"35","Utvisning","06:44","","Hugo Söderlund","IBF Borlänge","Period3","Slag",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"36","Utvisning","07:17","","Kalle Nissén","Lokomotiv Grillby IBK","Period3","Hands",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"37","Utvisning","17:49","","Tobias Anfält","IBF Borlänge","Period3","Hög klubba",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"38","Utvisning","18:52","","Rasmus Lööv","Lokomotiv Grillby IBK","Period3","För många spelare på plan",2,"IBF Borlänge - Lokomotiv Grillby IBK","Mattias Hedberg","Daniel Larsson","Mattias Hedberg, Daniel Larsson"
"39","Utvisning","05:54","","Martin Gagner-Geeber","IBK Östhammar","Period1","Otillåten trängning",2,"IBK Östhammar - Lokomotiv Grillby IBK","Jonas Nordqvist","Bo Pettersson Loklint","Jonas Nordqvist, Bo Pettersson Loklint"
