"","Referee","Arena","CountPerArena","TotalCount","Lag","AntalMatchPerLag"
"1","Andreas Holm, Håkan Söderman","JALAS® Arena",1,1,"IBF Örebro",1
"2","Andreas Holm, Håkan Söderman","JALAS® Arena",1,1,"IBF Falun",1
"3","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,10,"IBF Falun",1
"4","Andreas Holm, Stefan Olsson","Arenan - Jönköpings Idrottshus",1,10,"Jönköpings IK",1
"5","Andreas Holm, Stefan Olsson","Fortnox Arena Nivika hallen",2,10,"Höllvikens IBF",1
"6","Andreas Holm, Stefan Olsson","Fortnox Arena Nivika hallen",2,10,"Växjö IBK",2
"7","Andreas Holm, Stefan Olsson","Fortnox Arena Nivika hallen",2,10,"FBC Kalmarsund",1
"8","Andreas Holm, Stefan Olsson","Helsingborg Arena A",2,10,"Pixbo Wallenstam IBK",1
"9","Andreas Holm, Stefan Olsson","Helsingborg Arena A",2,10,"Mullsjö AIS",1
"10","Andreas Holm, Stefan Olsson","Helsingborg Arena A",2,10,"FC Helsingborg",2
"11","Andreas Holm, Stefan Olsson","Idrottshuset, Örebro Plan 1",1,10,"Pixbo Wallenstam IBK",1
"12","Andreas Holm, Stefan Olsson","Idrottshuset, Örebro Plan 1",1,10,"IBF Örebro",1
"13","Andreas Holm, Stefan Olsson","Linköpings Sporthall",1,10,"IK Sirius IBK",1
"14","Andreas Holm, Stefan Olsson","Linköpings Sporthall",1,10,"Linköping IBK",1
"15","Andreas Holm, Stefan Olsson","Salming Arena",2,10,"IBF Falun",1
"16","Andreas Holm, Stefan Olsson","Salming Arena",2,10,"Lindås Rasta IBK",2
"17","Andreas Holm, Stefan Olsson","Salming Arena",2,10,"IBF Örebro",1
"18","Andreas Holm, Stefan Olsson","Wallenstamhallen",1,10,"IK Sirius IBK",1
"19","Andreas Holm, Stefan Olsson","Wallenstamhallen",1,10,"Pixbo Wallenstam IBK",1
"20","Christoffer Markovski, Patric Terelius","JALAS® Arena",1,1,"IK Sirius IBK",1
"21","Christoffer Markovski, Patric Terelius","JALAS® Arena",1,1,"IBF Falun",1
"22","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,29,"Jönköpings IK",2
"23","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,29,"FBC Kalmarsund",1
"24","Daniel Böcker, Andreas Lybacken","Arenan - Jönköpings Idrottshus",2,29,"Pixbo Wallenstam IBK",1
"25","Daniel Böcker, Andreas Lybacken","Fortnox Arena Nivika hallen",3,29,"Mullsjö AIS",1
"26","Daniel Böcker, Andreas Lybacken","Fortnox Arena Nivika hallen",3,29,"Linköping IBK",1
"27","Daniel Böcker, Andreas Lybacken","Fortnox Arena Nivika hallen",3,29,"FC Helsingborg",1
"28","Daniel Böcker, Andreas Lybacken","Fortnox Arena Nivika hallen",3,29,"Växjö IBK",3
"29","Daniel Böcker, Andreas Lybacken","Halörhallen",4,29,"Mullsjö AIS",1
"30","Daniel Böcker, Andreas Lybacken","Halörhallen",4,29,"Pixbo Wallenstam IBK",1
"31","Daniel Böcker, Andreas Lybacken","Halörhallen",4,29,"Höllvikens IBF",4
"32","Daniel Böcker, Andreas Lybacken","Halörhallen",4,29,"Lindås Rasta IBK",1
"33","Daniel Böcker, Andreas Lybacken","Halörhallen",4,29,"Linköping IBK",1
"34","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,29,"FC Helsingborg",2
"35","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,29,"Lindås Rasta IBK",1
"36","Daniel Böcker, Andreas Lybacken","Helsingborg Arena A",2,29,"Höllvikens IBF",1
"37","Daniel Böcker, Andreas Lybacken","IFU Arena A",3,29,"Jönköpings IK",1
"38","Daniel Böcker, Andreas Lybacken","IFU Arena A",3,29,"IK Sirius IBK",3
"39","Daniel Böcker, Andreas Lybacken","IFU Arena A",3,29,"Storvreta IBK",2
"40","Daniel Böcker, Andreas Lybacken","Kalmar Sporthall A-hall",2,29,"FBC Kalmarsund",2
"41","Daniel Böcker, Andreas Lybacken","Kalmar Sporthall A-hall",2,29,"Linköping IBK",1
"42","Daniel Böcker, Andreas Lybacken","Kalmar Sporthall A-hall",2,29,"Växjö IBK",1
"43","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",4,29,"Linköping IBK",4
"44","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",4,29,"FBC Kalmarsund",1
"45","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",4,29,"Lindås Rasta IBK",1
"46","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",4,29,"Storvreta IBK",1
"47","Daniel Böcker, Andreas Lybacken","Linköpings Sporthall",4,29,"IBK Dalen",1
"48","Daniel Böcker, Andreas Lybacken","Lundbystrand 1",1,29,"Pixbo Wallenstam IBK",1
"49","Daniel Böcker, Andreas Lybacken","Lundbystrand 1",1,29,"Lindås Rasta IBK",1
"50","Daniel Böcker, Andreas Lybacken","Nyhemshallen - Mullsjö",3,29,"FC Helsingborg",1
"51","Daniel Böcker, Andreas Lybacken","Nyhemshallen - Mullsjö",3,29,"IBF Örebro",1
"52","Daniel Böcker, Andreas Lybacken","Nyhemshallen - Mullsjö",3,29,"Storvreta IBK",1
"53","Daniel Böcker, Andreas Lybacken","Nyhemshallen - Mullsjö",3,29,"Mullsjö AIS",3
"54","Daniel Böcker, Andreas Lybacken","Salming Arena",2,29,"Växjö IBK",1
"55","Daniel Böcker, Andreas Lybacken","Salming Arena",2,29,"Höllvikens IBF",1
"56","Daniel Böcker, Andreas Lybacken","Salming Arena",2,29,"Lindås Rasta IBK",2
"57","Daniel Böcker, Andreas Lybacken","Umeå Energi Arena",3,29,"IBF Falun",2
"58","Daniel Böcker, Andreas Lybacken","Umeå Energi Arena",3,29,"Lindås Rasta IBK",1
"59","Daniel Böcker, Andreas Lybacken","Umeå Energi Arena",3,29,"IBK Dalen",3
"60","Daniel Fathi-Najafi, David Geiser","Linköpings Sporthall",1,1,"Höllvikens IBF",1
"61","Daniel Fathi-Najafi, David Geiser","Linköpings Sporthall",1,1,"Linköping IBK",1
"62","Daniel Fathi-Najafi, Peter Novakovic","Arenan - Jönköpings Idrottshus",3,24,"IBK Dalen",1
"63","Daniel Fathi-Najafi, Peter Novakovic","Arenan - Jönköpings Idrottshus",3,24,"IBF Örebro",1
"64","Daniel Fathi-Najafi, Peter Novakovic","Arenan - Jönköpings Idrottshus",3,24,"Mullsjö AIS",1
"65","Daniel Fathi-Najafi, Peter Novakovic","Arenan - Jönköpings Idrottshus",3,24,"Jönköpings IK",3
"66","Daniel Fathi-Najafi, Peter Novakovic","Fortnox Arena Nivika hallen",2,24,"Växjö IBK",2
