"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Straffmål","05:36","0-2","Max Bäcklund","K 4 IF H 2","Period1","Sunderby SK H2 - K 4 IF H 2","Straff","Magnus Grahn","Daniel Persson","Magnus Grahn, Daniel Persson"
"2","Räddad straff","07:55","","Ville Jääskö","Haparanda AIK H2","Period2","Haparanda AIK H2 - Wibax IBF Piteå H2","Straff","Juha Pasma","Pasi Ronkainen","Juha Pasma, Pasi Ronkainen"
"3","Missad straff","17:58","","Oscar Jaldeby","Wibax IBF Piteå H2","Period3","Haparanda AIK H2 - Wibax IBF Piteå H2","Straff","Juha Pasma","Pasi Ronkainen","Juha Pasma, Pasi Ronkainen"
"4","Straffmål","14:18","3-5","Sami Moilanen","Haparanda AIK H2","Period2","Haparanda AIK H2 - Pajala IF H2","Straff","Jörgen Eriksson","Magnus Grahn","Jörgen Eriksson, Magnus Grahn"
"5","Missad straff","04:01","","Erik Sjödin","K 4 IF H 2","Period3","K 4 IF H 2 - Pajala IF H2","Straff","Conny Björnfot","Daniel Persson","Conny Björnfot, Daniel Persson"
"6","Missad straff","15:14","","Johan Waara","Sunderby SK H2","Period3","Sunderby SK H2 - Haparanda AIK H2","Straff","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"7","Missad straff","01:06","","Neo Munter","IBK Luleå H2","Period3","IBK Luleå H2 - Sunderby SK H2","Straff","Conny Björnfot","Tobias Skogsberg","Conny Björnfot, Tobias Skogsberg"
"8","Missad straff","13:51","","Daniel Mäki","Pajala IF H2","Period2","Wibax IBF Piteå H2 - Pajala IF H2","Straff","Magnus Grahn","Johan Nyström","Magnus Grahn, Johan Nyström"
"9","Räddad straff","19:35","","Carl Jonsson","Bergnäsets AIK H2","Period3","Haparanda AIK H2 - Bergnäsets AIK H2","Straff","Conny Björnfot","Tobias Skogsberg","Conny Björnfot, Tobias Skogsberg"
"10","Missad straff","19:41","","Sami Moilanen","Haparanda AIK H2","Period2","K 4 IF H 2 - Haparanda AIK H2","Straff","Petter Lindkvist","Johan Nyström","Petter Lindkvist, Johan Nyström"
"11","Räddad straff","05:00","","Ville Jääskö","Haparanda AIK H2","Period3","Haparanda AIK H2 - IBK Luleå H2","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"12","Straffmål","13:59","7-4","Linus Elveback","IBK Luleå H2","Period3","Haparanda AIK H2 - IBK Luleå H2","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"13","Straffmål","10:20","6-2","Jesper Nordmark","Öjebyns IBF H2","Period3","Öjebyns IBF H2 - K 4 IF H 2","Straff","Jörgen Eriksson","Pär Wårell","Jörgen Eriksson, Pär Wårell"
"14","Straffmål","13:36","3-3","Mattias Andersson","Wibax IBF Piteå H2","Period2","Wibax IBF Piteå H2 - Haparanda AIK H2","Straff","Magnus Grahn","Johan Nyström","Magnus Grahn, Johan Nyström"
"15","Missad straff","19:41","","Conny Hugman","Bergnäsets AIK H2","Period3","IBK Luleå H2 - Bergnäsets AIK H2","Straff","Conny Björnfot","Tobias Skogsberg","Conny Björnfot, Tobias Skogsberg"
"16","Missad straff","18:27","","Christoffer Morin","IBK Luleå H2","Period3","IBK Luleå H2 - Bergnäsets AIK H2","Straff","Conny Björnfot","Tobias Skogsberg","Conny Björnfot, Tobias Skogsberg"
"17","Straffmål","08:21","13-7","Robert Nutti","Kiruna AIF H2","Period3","Kiruna AIF H2 - Sunderby SK H2","Straff","Jörgen Eriksson","Jari Korpi","Jörgen Eriksson, Jari Korpi"
"18","Straffmål","18:20","3-4","Mattias Svanström","Kiruna AIF H2","Period2","Wibax IBF Piteå H2 - Kiruna AIF H2","Straff","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
"19","Missad straff","08:04","","Mattias Svanström","Kiruna AIF H2","Period3","Wibax IBF Piteå H2 - Kiruna AIF H2","Straff","Conny Björnfot","Magnus Grahn","Conny Björnfot, Magnus Grahn"
"20","Straffmål","13:49","1-2","Infante Hector Andres Garcia","Pajala IF H2","Period2","Öjebyns IBF H2 - Pajala IF H2","Straff","Conny Björnfot","Tobias Skogsberg","Conny Björnfot, Tobias Skogsberg"
"21","Straffmål","01:32","3-8","Niklas Landström","Sunderby SK H2","Period3","Sunderby SK H2 - Öjebyns IBF H2","Straff","Magnus Grahn","Gustaf Vallgren","Magnus Grahn, Gustaf Vallgren"
"22","Missad straff","04:29","","Jesper Renberg","K 4 IF H 2","Period3","IBK Luleå H2 - K 4 IF H 2","Straff","Johan Krispinsson","Gustaf Vallgren","Johan Krispinsson, Gustaf Vallgren"
"23","Straffmål","12:37","3-2","Carl Jonsson","Bergnäsets AIK H2","Period1","Bergnäsets AIK H2 - Wibax IBF Piteå H2","Straff","Christer Uggla","Pär Wårell","Christer Uggla, Pär Wårell"
