"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Räddad straff","13:23","","Annie Nilsson","FBC Kalmarsund Ungdom","Period3","FBC Kalmarsund Ungdom - CL98IC","Straff","Johan Palm","Jonas Widenstedt","Johan Palm, Jonas Widenstedt"
"2","Missad straff","03:45","","Wilma Wikner","IBF Tranås","Period2","IBF Tranås - Sävsjö IBK","Straff","Magnus Andersson","Fredrik Billemark","Magnus Andersson, Fredrik Billemark"
"3","Missad straff","12:09","","Annie Moreau","Östra SK","Period3","Växjö IBK - Östra SK","Straff","Thomas Atting","Anders Everstrand","Thomas Atting, Anders Everstrand"
"4","Missad straff","02:47","","Karin Trinh","Växjö IBK","Period2","Växjö IBK - CL98IC","Straff","Annie Nordmark","Daniel Pettersson","Annie Nordmark, Daniel Pettersson"
"5","Straffmål","15:37","2-1","Maria Lundblad","Östra SK","Period1","Vetlanda IBF - Östra SK","Straff","Gerhardt Borkowski","Viktor Bringstam","Gerhardt Borkowski, Viktor Bringstam"
"6","Straffmål","11:38","2-8","Moa Johansson","Växjö IBK","Period2","Ryds SK - Växjö IBK","Straff","Hani Mousaviyan-Utter","Gustav Svensson","Hani Mousaviyan-Utter, Gustav Svensson"
"7","Missad straff","07:56","","Emilia Lindgren","Växjö IBK","Period3","Växjö IBK - Värnamo IK","Straff","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"8","Straffmål","19:02","10-5","Alexandra Näsman","Olofströms IBK","Period3","IBF Tranås - Olofströms IBK","Straff","Jens Bäcklin","Adam Nikolausson","Jens Bäcklin, Adam Nikolausson"
"9","Räddad straff","03:08","","Alexandra Näsman","Olofströms IBK","Period1","Olofströms IBK - Växjö IBK","Straff","Mikael Lundin","Linus Sjöberg","Mikael Lundin, Linus Sjöberg"
"10","Straffmål","08:55","5-1","Hanna Jönsson","Ryds SK","Period3","Ryds SK - Östra SK","Straff","Anders Everstrand","Gustav Jarnegren","Anders Everstrand, Gustav Jarnegren"
"11","Straffmål","16:31","5-6","Ebba Andersson","Gransholms IF","Period3","Ryds SK - Gransholms IF","Straff","Filip Karlsson","Magnus Widlund","Filip Karlsson, Magnus Widlund"
"12","Missad straff","19:19","","Agnes Inemo","Gransholms IF","Period3","Vetlanda IBF - Gransholms IF","Straff","Magnus Andersson","Fredrik Billemark","Magnus Andersson, Fredrik Billemark"
"13","Straffmål","01:10","5-4","Emmy Jämtin","FBC Kalmarsund Ungdom","Period3","Craftstadens IBK Oskarshamn - FBC Kalmarsund Ungdom","Straff","Magnus Andersson","Fredrik Billemark","Magnus Andersson, Fredrik Billemark"
"14","Missad straff","14:47","","Ida Björck","Ryds SK","Period1","Ryds SK - Craftstadens IBK Oskarshamn","Straff","Roger Gardell","Michell Rohde","Roger Gardell, Michell Rohde"
"15","Missad straff","14:30","","Ebba Andersson","Gransholms IF","Period2","IBF Tranås - Gransholms IF","Straff","Magnus Andersson","Fredrik Billemark","Magnus Andersson, Fredrik Billemark"
"16","Missad straff","07:32","","Nathalie Berggren","Craftstadens IBK Oskarshamn","Period3","Östra SK - Craftstadens IBK Oskarshamn","Straff","Fredrik Fältskog","Johan Nero Wikstrand","Fredrik Fältskog, Johan Nero Wikstrand"
"17","Missad straff","13:18","","Antonia Jonsson","Craftstadens IBK Oskarshamn","Period3","Östra SK - Craftstadens IBK Oskarshamn","Straff","Fredrik Fältskog","Johan Nero Wikstrand","Fredrik Fältskog, Johan Nero Wikstrand"
"18","Straffmål","15:58","7-4","Annie Moreau","Östra SK","Period3","Östra SK - Växjö IBK","Straff","Magnus Andersson","Fredrik Billemark","Magnus Andersson, Fredrik Billemark"
"19","Missad straff","02:55","","Malin Antonsson","Östra SK","Period3","CL98IC - Östra SK","Straff","Bengt Andersson","Per Elofsson","Bengt Andersson, Per Elofsson"
"20","Räddad straff","09:51","","Ida Björck","Ryds SK","Period3","Ryds SK - Växjö IBK","Straff","Johnny Edh","Daniel Pettersson","Johnny Edh, Daniel Pettersson"
"21","Straffmål","12:25","4-0","Isabella Landtreter","FBC Kalmarsund Ungdom","Period1","FBC Kalmarsund Ungdom - Olofströms IBK","Straff","Mikael Fransson","Daniel Gyllander","Mikael Fransson, Daniel Gyllander"
"22","Straffmål","12:28","1-0","Hanna Jönsson","Ryds SK","Period1","Ryds SK - Östra SK","Straff","Jesper Grönblad","Michell Rohde","Jesper Grönblad, Michell Rohde"
"23","Missad straff","03:39","","Hanna Jönsson","Ryds SK","Period2","Ryds SK - Östra SK","Straff","Jesper Grönblad","Michell Rohde","Jesper Grönblad, Michell Rohde"
"24","Missad straff","13:25","","Emma Bäckeper","Sävsjö IBK","Period2","Östra SK - Sävsjö IBK","Straff","Oskar Lööke","Isak Mörnstål","Oskar Lööke, Isak Mörnstål"
"25","Missad straff","01:46","","Sofia Nyblom","FBC Kalmarsund Ungdom","Period2","FBC Kalmarsund Ungdom - Värnamo IK","Straff","Fredrik Billemark","Senad Hamula","Fredrik Billemark, Senad Hamula"
