"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Match","Straff","Domare1","Domare2","Domarpar"
"1","Missad straff","18:46","","Elin Frid","Ale IBF","Period2","Pixbo Wallenstam IBF - Ale IBF","Straff","Jesper Dammert","Carl Flyning","Jesper Dammert, Carl Flyning"
"2","Missad straff","06:52","","Jasmine Hallberg","Floda IBK D1","Period3","Floda IBK D1 - FBC Lerum","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"3","Missad straff","13:03","","Malin Damgren","Pixbo Wallenstam IBF","Period1","Guldhedens IK D1 - Pixbo Wallenstam IBF","Straff","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"4","Missad straff","11:14","","Martina Andersson","Guldhedens IK D1","Period2","Guldhedens IK D1 - IBK Göteborg D1","Straff","Roger Zahnér","Torbjörn Zahner","Roger Zahnér, Torbjörn Zahner"
"5","Straffmål","06:40","4-2","Clara Eriksson","IBK Kungälv D1","Period2","IBK Kungälv D1 - Floda IBK D1","Straff","Joakim Amri Nilsson","Adnan Tongur","Joakim Amri Nilsson, Adnan Tongur"
"6","Straffmål","07:03","1-1","Sofia Andreasson","FBC Lerum","Period1","Ale IBF - FBC Lerum","Straff","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"7","Straffmål","13:01","4-4","Hanna Hansson","Ale IBF","Period3","Ale IBF - FBC Lerum","Straff","Apilou Dragin","Catrin Kleist","Apilou Dragin, Catrin Kleist"
"8","Straffmål","01:15","0-1","Malin Damgren","Pixbo Wallenstam IBF","Period1","FBC Lerum - Pixbo Wallenstam IBF","Straff","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"9","Missad straff","06:41","","Malin Artling","Burås IK D1","Period3","Pixbo Wallenstam IBF - Burås IK D1","Straff","Gustav Glansén","Besim Mehmedagic","Gustav Glansén, Besim Mehmedagic"
"10","Straffmål","10:06","5-6","Cornelia Hedeberg","IK Zenith","Period2","Ale IBF - IK Zenith","Straff","Jesper Dammert","Pierre Eberhard Berg","Jesper Dammert, Pierre Eberhard Berg"
"11","Straffmål","14:24","2-3","Maja Eklund","Pixbo Wallenstam IBF","Period2","Guldhedens IK D1 - Pixbo Wallenstam IBF","Straff","Aldin Hadziselmovic","Alexander Pavlovic","Aldin Hadziselmovic, Alexander Pavlovic"
"12","Straffmål","14:52","3-2","Lisa Kemi","IK Zenith","Period2","IBK Kungälv D1 - IK Zenith","Straff","Besim Mehmedagic","Adnan Tongur","Besim Mehmedagic, Adnan Tongur"
"13","Straffmål","17:51","4-8","Moa Cedhagen","Lindome IBK Utv D1","Period3","IK Zenith - Lindome IBK Utv D1","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"14","Missad straff","18:50","","Felicia Andersson","Partille IBS","Period3","Partille IBS - FBC Lerum","Straff","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"15","Räddad straff","10:33","","Emma Horseng Amdell","Partille IBS","Period2","Ale IBF - Partille IBS","Straff","Peter Axelsson","Håkan Krafft","Peter Axelsson, Håkan Krafft"
"16","Räddad straff","02:46","","Johanna Härstedt","IBK Göteborg D1","Period3","Pixbo Wallenstam IBF - IBK Göteborg D1","Straff","Hajrudin Begic","Mats Sällberg","Hajrudin Begic, Mats Sällberg"
"17","Räddad straff","13:09","","Karin Didriksson","Burås IK D1","Period2","IBK Göteborg D1 - Burås IK D1","Straff","Aldin Hadziselmovic","Mats Sällberg","Aldin Hadziselmovic, Mats Sällberg"
"18","Missad straff","07:22","","Madelen Johannesson","IBK Kungälv D1","Period2","IBK Kungälv D1 - Pixbo Wallenstam IBF","Straff","Hajrudin Begic","Besim Mehmedagic","Hajrudin Begic, Besim Mehmedagic"
"19","Straffmål","05:01","2-2","Jasmine Hallberg","Floda IBK D1","Period2","Floda IBK D1 - IK Zenith","Straff","Pelle Hellberg","Joakim Jögi","Pelle Hellberg, Joakim Jögi"
