"","Typ","Tidpunkt","Score","Spelare","Lag","Period","Event","Utv","Match","Domare1","Domare2","Domarpar"
"1","Utvisning","15:38","","Alexander Bullert","IK Standard","Period1","Slag",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"2","Utvisning","01:18","","Gustav Granberg","IK Standard","Period2","Upprepade förseelser",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"3","Utvisning","07:27","","Viktor Hansson","IK Standard","Period2","Hårt spel 2",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"4","Utvisning","12:15","","Martin Edlund","Ekbackskyrkans IBK","Period2","Felaktigt avstånd",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"5","Utvisning","15:54","","Johan Wallström","IK Standard","Period2","Låsning av klubba",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"6","Utvisning","04:18","","Casper Bergström","Ekbackskyrkans IBK","Period3","Otillåten trängning",2,"IK Standard - Ekbackskyrkans IBK","Johan Nordlander","William Wengelin","Johan Nordlander, William Wengelin"
"7","Utvisning","17:05","","David Törnqvist","Nykvarns IF","Period1","Upprepade förseelser",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"8","Utvisning","20:00","","Jesper Höglund","Trosa Edanö IBK","Period1","Slag",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"9","Utvisning","06:37","","Felix Nyberg","Nykvarns IF","Period2","Upprepade förseelser",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"10","Utvisning","19:09","","Jesper Eriksson","Trosa Edanö IBK","Period2","Fasthållning",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"11","Utvisning","01:07","","Emil Yngerfors","Nykvarns IF","Period3","Obstruktion",2,"Trosa Edanö IBK - Nykvarns IF","Kent Erlandsson","Henrik Ibjer","Kent Erlandsson, Henrik Ibjer"
"12","Utvisning","06:24","","Anton Malmqvist Scott","Telge SIBK","Period2","Fasthållning",2,"Telge SIBK - IFK Gnesta","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"13","Utvisning","17:04","","Ludvig Neander","IFK Gnesta","Period2","Upprepade förseelser",2,"Telge SIBK - IFK Gnesta","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"14","Utvisning","09:09","","Markus Kellokumpu","Katrineholms IBF","Period1","Otillåten trängning",2,"Katrineholms IBF - FBC Nyköping","Henrik Ibjer","Stefan Öberg","Henrik Ibjer, Stefan Öberg"
"15","Utvisning","05:46","","Jani Pyykönen","Katrineholms IBF","Period3","Upprepade förseelser",2,"Katrineholms IBF - FBC Nyköping","Henrik Ibjer","Stefan Öberg","Henrik Ibjer, Stefan Öberg"
"16","Utvisning","07:51","","Robin Liliegren","FBC Nyköping","Period3","Hårt spel 2",2,"Katrineholms IBF - FBC Nyköping","Henrik Ibjer","Stefan Öberg","Henrik Ibjer, Stefan Öberg"
"17","Utvisning","16:36","","Mattias Eriksson","FBC Nyköping","Period3","Slag",2,"Katrineholms IBF - FBC Nyköping","Henrik Ibjer","Stefan Öberg","Henrik Ibjer, Stefan Öberg"
"18","Utvisning","13:57","","Carl Vingnäs","Telge SIBK","Period3","Otillåten trängning",2,"Trosa Edanö IBK - Telge SIBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"19","Utvisning","04:03","","Isak Sandeberg","IK Standard","Period3","Låsning av klubba",2,"IFK Gnesta - IK Standard","Arne Brattehag","Sigge Maurer","Arne Brattehag, Sigge Maurer"
"20","Utvisning","08:40","","Isak Sandeberg","IK Standard","Period3","Upprepade förseelser",2,"IFK Gnesta - IK Standard","Arne Brattehag","Sigge Maurer","Arne Brattehag, Sigge Maurer"
"21","Utvisning","18:48","","Ludvig Neander","IFK Gnesta","Period3","Felaktigt avstånd",2,"IFK Gnesta - IK Standard","Arne Brattehag","Sigge Maurer","Arne Brattehag, Sigge Maurer"
"22","Utvisning","09:54","","Anton Linder","Onyx IBS","Period2","Slag",2,"Onyx IBS - Ekbackskyrkans IBK","Aarre Hietanen","Dennis Wagermark","Aarre Hietanen, Dennis Wagermark"
"23","Utvisning","17:41","","Robin Liliegren","FBC Nyköping","Period1","Fasthållning",2,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"24","Utvisning","19:36","","Rikard Westerberg","FBC Nyköping","Period1","Hårt spel 2",2,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"25","Utvisning","19:36","","August Härnström","Katrineholms IBF","Period1","Hårt spel 2",2,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"26","Utvisning","07:01","","Rikard Westerberg","FBC Nyköping","Period2","Upprepade förseelser",2,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"27","Utvisning","00:58","","Rasmus Widén","FBC Nyköping","Period3","Hårt spel 2",2,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"28","Utvisning","11:49","","Pontus Eriksson","FBC Nyköping","Period3","Hårt spel 5",5,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"29","Utvisning","11:49","","Rasmus Kangosjärvi","Katrineholms IBF","Period3","Osportsligt uppträdande",12,"Katrineholms IBF - FBC Nyköping","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"30","Utvisning","02:46","","Anton Jonsson","Flens IBF","Period1","Slag",2,"Flens IBF - Nykvarns IF","Mikael Andersson","Stefan Öberg","Mikael Andersson, Stefan Öberg"
"31","Utvisning","11:00","","Fredrik Lindberg","Flens IBF","Period2","Låsning av klubba",2,"Flens IBF - Nykvarns IF","Mikael Andersson","Stefan Öberg","Mikael Andersson, Stefan Öberg"
"32","Utvisning","16:18","","Jacob Landbergsson","Nykvarns IF","Period2","Slag",2,"Flens IBF - Nykvarns IF","Mikael Andersson","Stefan Öberg","Mikael Andersson, Stefan Öberg"
"33","Utvisning","08:01","","Patrik Alfredsson","Flens IBF","Period3","Slag",2,"Flens IBF - Nykvarns IF","Mikael Andersson","Stefan Öberg","Mikael Andersson, Stefan Öberg"
"34","Utvisning","10:11","","Edward Ceder","Nykvarns IF","Period3","Hårt spel 2",2,"Flens IBF - Nykvarns IF","Mikael Andersson","Stefan Öberg","Mikael Andersson, Stefan Öberg"
"35","Utvisning","17:59","","Daniel Paulsson","IK Standard","Period1","Hårt spel 2",2,"IFK Gnesta - IK Standard","Göran Engfors","Fredrik Wernqvist","Göran Engfors, Fredrik Wernqvist"
"36","Utvisning","14:43","","Max Holmberg","IFK Gnesta","Period2","Otillåten trängning",2,"IFK Gnesta - IK Standard","Göran Engfors","Fredrik Wernqvist","Göran Engfors, Fredrik Wernqvist"
"37","Utvisning","16:55","","Mattias Jansson","IFK Gnesta","Period3","Hårt spel 2",2,"IFK Gnesta - IK Standard","Göran Engfors","Fredrik Wernqvist","Göran Engfors, Fredrik Wernqvist"
"38","Utvisning","11:40","","Marcus Zingmark","Ekbackskyrkans IBK","Period2","Slag",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"39","Utvisning","18:17","","Anton Linder","Onyx IBS","Period2","Upprepade förseelser",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"40","Utvisning","03:21","","Alexander Eriksson","Onyx IBS","Period3","Slag",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"41","Utvisning","12:15","","Anton Linder","Onyx IBS","Period3","Hårt spel 2",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"42","Utvisning","16:41","","Jesper Dal","Ekbackskyrkans IBK","Period3","Otillåten trängning",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"43","Utvisning","19:06","","Marcus Zingmark","Ekbackskyrkans IBK","Period3","Otillåten trängning",2,"Onyx IBS - Ekbackskyrkans IBK","Mathias Lindvall","Ivan Wahlström","Mathias Lindvall, Ivan Wahlström"
"44","Utvisning","11:41","","Ted Nygren","Trosa Edanö IBK","Period2","Otillåten trängning",2,"Telge SIBK - Trosa Edanö IBK","Arne Brattehag","Mathias Lindvall","Arne Brattehag, Mathias Lindvall"
"45","Utvisning","13:32","","Anders Sköld","Telge SIBK","Period2","Felaktigt avstånd",2,"Telge SIBK - Trosa Edanö IBK","Arne Brattehag","Mathias Lindvall","Arne Brattehag, Mathias Lindvall"
"46","Utvisning","05:14","","Oscar Gill","Flens IBF","Period1","Obstruktion",2,"Nykvarns IF - Flens IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
"47","Utvisning","15:39","","David Törnqvist","Nykvarns IF","Period1","Upprepade förseelser",2,"Nykvarns IF - Flens IBF","Emil Lindhe","Daniel Pettersson","Emil Lindhe, Daniel Pettersson"
